257,27,20,2.3568
258,27,21,2.1182
259,27,22,4.7795
260,27,23,3.8236
261,27,24,2.8677
262,27,25,1.9118
263,27,26,0.9559
264,28,16,4.2311
265,28,17,4.3388
266,28,18,4.6351
267,28,22,2.1156
268,28,23,2.3276
269,28,24,2.8614
270,28,25,3.5755
271,28,26,4.3828
272,29,16,4.3071
273,29,17,4.2329
274,29,18,4.361
275,29,19,4.675
276,29,22,2.2692
277,29,23,2.1198
278,29,24,2.3802
279,29,25,2.9436
280,29,26,3.6731
281,29,27,4.4884
282,29,28,0.83577
283,30,16,4.5384
284,30,17,4.2902
285,30,18,4.2368
286,30,19,4.3852
287,30,20,4.7165
288,30,22,2.687
289,30,23,2.2286
290,30,24,2.1308
291,30,25,2.4376
292,30,26,3.0283
293,30,27,3.7719
294,30,28,1.6715
295,30,29,0.83577
296,31,16,4.9031
297,31,17,4.5047
298,31,18,4.2754
299,31,19,4.2429
300,31,20,4.4113
301,31,21,4.7595
302,31,22,3.2692
303,31,23,2.6146
304,31,24,2.1938
305,31,25,2.1485
306,31,26,2.4995
307,31,27,3.1154
308,31,28,2.5073
309,31,29,1.6715
310,31,30,0.83577
311,32,17,4.8554
312,32,18,4.4727
313,32,19,4.2627
314,32,20,4.2511
315,32,21,4.4394
316,32,22,3.9437
317,32,23,3.1786
318,32,24,2.5459
319,32,25,2.1651
320,32,26,2.1727
321,32,27,2.5655
322,32,28,3.3431
323,32,29,2.5073
324,32,30,1.6715
325,32,31,0.83577
326,33,18,4.8092
327,33,19,4.4426
328,33,20,4.2521
329,33,21,4.2614
330,33,22,4.6706
331,33,23,3.8428
332,33,24,3.0899
333,33,25,2.4811
334,33,26,2.1427
335,33,27,2.2032
336,33,28,4.1788
337,33,29,3.3431
338,33,30,2.5073
339,33,31,1.6715
340,33,32,0.83577
341,34,19,4.7644
342,34,20,4.4144
343,34,21,4.2437
344,34,23,4.5638
345,34,24,3.7431
346,34,25,3.0035
347,34,26,2.4205
348,34,27,2.1269
